state,bonjangles,burger_king,chick_fil_a,mcdonalds,pizza_hut,subway,taco_bell,wendys
Alaska,,,,1,1,4,3,
Alabama,,,1,,,,3,
Arkansas,,3,5,18,,10,16,14
Arizona,,20,2,58,11,16,53,16
California,,128,8,155,40,57,123,33
Colorado,,8,4,7,1,16,27,13
Connecticut,,4,,10,,17,4,2
Delaware,,1,,5,,3,4,2
Florida,,48,31,137,13,18,75,56
Georgia,1,17,16,100,10,36,44,37
Hawaii,,4,,12,,,1,1
Iowa,,9,1,22,8,3,4,6
Idaho,,3,,3,1,10,2,5
Illinois,,49,,77,6,28,35,19
Indiana,,3,,9,15,23,45,22
Kansas,,1,1,2,,9,15,13
Kentucky,,13,2,51,7,8,22,19
Lousiana,,27,5,45,4,12,25,20
Massachusetts,,25,,34,,24,9,19
Maryland,,23,10,43,4,12,20,6
Maine,,6,,6,,,3,3
Missouri,,61,,66,7,45,55,7
Minnesota,,20,,56,5,8,15,2
MO,,4,1,35,1,16,43,5
Mississippi,,5,2,19,3,8,5,
Montana,,2,,11,3,7,3,
North Carolina,,33,20,65,9,29,17,6
North Dakota,,3,,4,3,5,4,3
Nebraska,,16,2,7,6,9,6,6
New Hampshire,,6,1,7,,1,7,2
New Jersey,,24,5,21,1,3,14,20
New Mexico,,2,,21,11,2,13,6
Nevada,,2,,25,2,2,20,10
New York,,32,,105,,46,22,23
Ohio,,41,11,98,7,62,45,44
Oklahoma,,1,4,34,7,17,10,3
Oregon,,14,,51,2,13,13,13
Pennsylvania,,25,10,102,7,36,12,39
Rhode Island,,,,,1,,,5
South Carolina,,4,6,28,,21,12,24
South Dakota,,,,13,,3,2,2
Tennessee,,8,10,72,7,26,24,20
Texas,,50,25,137,8,49,61,33
Utah,,5,2,8,1,2,6,3
Virginia,,34,19,10,,20,30,28
Vermont,,3,,7,,,1,1
Washington,,16,,44,5,18,30,12
Wisconsin,,18,,32,8,20,21,
West Virginia,,11,2,19,2,,7,4
Wyoming,,1,,6,3,2,1,1
